id,symbol,frequency,open,high,low,close,volume,amount,pre_close,bob,eob,position
392,SHSE.600000,1d,8.2211,8.2486,8.067,8.0781,88124782,1309322551.0,8.2541,2015-08-20 00:00:00+08:00,2015-08-20 00:00:00+08:00,0
393,SHSE.600000,1d,8.0395,8.1111,7.8139,7.8249,123792817,1794884637.0,8.0781,2015-08-21 00:00:00+08:00,2015-08-21 00:00:00+08:00,0
394,SHSE.600000,1d,7.6653,7.6764,7.0435,7.0821,334859429,4407389496.0,7.8249,2015-08-24 00:00:00+08:00,2015-08-24 00:00:00+08:00,0
395,SHSE.600000,1d,6.9005,7.1976,6.5538,6.8179,289470686,3659079619.0,7.0821,2015-08-25 00:00:00+08:00,2015-08-25 00:00:00+08:00,0
396,SHSE.600000,1d,6.961,7.3462,6.8234,7.1646,235214588,3028238686.0,6.8179,2015-08-26 00:00:00+08:00,2015-08-26 00:00:00+08:00,0
397,SHSE.600000,1d,7.2416,7.7534,7.1426,7.6929,212008806,2835655224.0,7.1646,2015-08-27 00:00:00+08:00,2015-08-27 00:00:00+08:00,0
398,SHSE.600000,1d,7.7589,7.88,7.6213,7.8359,208950955,2942159406.0,7.6929,2015-08-28 00:00:00+08:00,2015-08-28 00:00:00+08:00,0
399,SHSE.600000,1d,7.8139,8.2431,7.6819,8.2321,202628515,2902670628.0,7.8359,2015-08-31 00:00:00+08:00,2015-08-31 00:00:00+08:00,0
400,SHSE.600000,1d,8.067,8.4412,7.9295,8.4357,304904688,4572547207.0,8.2321,2015-09-01 00:00:00+08:00,2015-09-01 00:00:00+08:00,0
401,SHSE.600000,1d,8.1991,8.4577,8.1001,8.1936,255045273,3831534739.0,8.4357,2015-09-02 00:00:00+08:00,2015-09-02 00:00:00+08:00,0
402,SHSE.600000,1d,8.1056,8.2596,7.7919,7.979,287948628,4206785571.0,8.1936,2015-09-07 00:00:00+08:00,2015-09-07 00:00:00+08:00,0
403,SHSE.600000,1d,7.99,8.3422,7.8249,8.2872,330814193,4893450790.0,7.979,2015-09-08 00:00:00+08:00,2015-09-08 00:00:00+08:00,0
